text,label
Your idea is totally careless — the function is failure. You broke the basics. Fix it or step aside.,1
"Reese, honestly nice job — the dataset was elegant; you clarified the problem. Much appreciated.",0
Your code is seriously awful — the benchmark is garbage. You butchered the basics. Spare us the attitude.,1
Your plan is totally hostile — the comment is blunder. You misread the basics. Stop wasting everyone's time.,1
Your plan is plainly pathetic — this pull request is embarrassment. You skipped the basics. This is not acceptable.,1
"Alex, truly nice job — the experiment was insightful; you highlighted the key trade‑offs. This is exactly what I needed.",0
"Morgan, genuinely nice job — the model output was thoughtful; you saved me a lot of time. Respect.",0
Your idea is seriously sloppy — your argument is nonsense. You downgraded the basics. Think before you post.,1
"Parker, absolutely nice job — the draft was well structured; you solved the issue for me. Thanks a ton!",0
Your example is completely careless — the roadmap is mistake. You botched the basics. Spare us the attitude.,1
"Morgan, truly nice job — this approach was practical; you solved the issue for me. Thanks a ton!",0
Your take is absolutely annoying — the comment is joke. You skipped the basics. Think before you post.,1
"Casey, nice job — this pull request was balanced; you helped me understand the edge cases. Thanks a ton!",0
"Alex, honestly nice job — the article was thorough; you made the idea easy to follow. Much appreciated.",0
Your take is seriously terrible — the tutorial is blunder. You twisted the basics. Do better.,1
"Skyler, definitely nice job — the tutorial was well explained; you saved me a lot of time. Great work.",0
Your code is totally careless — the model output is embarrassment. You downgraded the basics. Try again with some effort.,1
"Morgan, absolutely nice job — the patch was coherent; you improved the results. This is exactly what I needed.",0
"Quinn, definitely nice job — this pull request was helpful; you made the idea easy to follow. Respect.",0
You is seriously toxic — the patch is disaster. You broke the basics. Read the docs first.,1
"Kendall, really nice job — the comment was practical; you saved me a lot of time. This is exactly what I needed.",0
"Hunter, truly nice job — this approach was thoughtful; you helped me understand the edge cases. Much appreciated.",0
"Casey, really nice job — the roadmap was clear; you guided me through the steps. This is exactly what I needed.",0
You is seriously hostile — this approach is joke. You messed up the basics. Spare us the attitude.,1
"Jordan, truly nice job — the UI design was reliable; you showed a clean solution. This really helps.",0
Your reply is plainly arrogant — the roadmap is failure. You broke the basics. Try again with some effort.,1
"Drew, absolutely nice job — this pull request was helpful; you made the idea easy to follow. Solid contribution.",0
"Skyler, definitely nice job — the meeting summary was insightful; you highlighted the key trade‑offs. I learned a lot.",0
"Kendall, truly nice job — the draft was elegant; you guided me through the steps. Kudos!",0
"Parker, truly nice job — the dataset was elegant; you clarified the problem. Much appreciated.",0
"Rowan, nice job — the timeline was helpful; you helped me understand the edge cases. I learned a lot.",0
"Jordan, nice job — this approach was balanced; you solved the issue for me. Solid contribution.",0
"Robin, seriously nice job — the experiment was concise; you guided me through the steps. This really helps.",0
Your review is totally rude — this pull request is trainwreck. You wrecked the basics. Think before you post.,1
"Chris, nice job — the patch was insightful; you solved the issue for me. Kudos!",0
Your code is utterly pointless — the comment is mess. You derailed the basics. Stop wasting everyone's time.,1
"Hunter, absolutely nice job — the dataset was well structured; you saved me a lot of time. I learned a lot.",0
"Morgan, seriously nice job — the experiment was useful; you answered all my questions. Great work.",0
